product,console,variant,type,source,market_price,old_price,new_price,diff,profit,status,notes
Fear Factor Unleashed - GBA Game,Gameboy Advance,game only,loose,ebay(49),8.80,8.05,11.99,3.94,2.54,APPLIED,
Field Commander - PSP Game,PSP,game only,loose,pc,5.00,6.98,6.99,0.01,1.49,NO_CHANGE,
Field Commander - PSP Game,PSP,complete (cib),cib,pc,7.96,10.99,10.99,0.00,2.41,NO_CHANGE,
FIFA 96 - Sega Genesis Game,Sega Genesis,game only,loose,ebay(52),10.90,10.41,14.99,4.58,3.36,APPLIED,
FIFA 96 - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(6),20.70,17.99,27.99,10.00,6.18,APPLIED,
FIFA Soccer 10 - Wii Game,Wii,game only,loose,pc,4.95,7.12,6.99,-0.13,1.54,NO_CHANGE,
FIFA Soccer 10 - Wii Game,Wii,complete (cib),cib,pc,5.36,7.99,7.99,0.00,2.10,NO_CHANGE,
FIFA Soccer 11 - PSP Game,PSP,game only,loose,pc,7.79,11.28,10.99,-0.29,2.58,NO_CHANGE,
FIFA Soccer 11 - PSP Game,PSP,complete (cib),cib,pc,13.51,18.99,18.99,0.00,4.63,NO_CHANGE,
Fight Club - PS2 Game,Playstation 2,game only,loose,pc,12.18,17.08,16.99,-0.09,4.02,NO_CHANGE,
Fight Club - PS2 Game,Playstation 2,complete (cib),cib,pc,19.62,26.99,26.99,0.00,6.29,NO_CHANGE,
Fighter Maker 2 - PS2 Game,Playstation 2,game only,loose,ebay(22),13.80,14.16,18.99,4.83,4.34,APPLIED,
Fighter Maker 2 - PS2 Game,Playstation 2,complete (cib),cib,ebay(4),16.41,24.99,22.99,-2.00,5.61,APPLIED,
Fighting Masters - Sega Genesis Game,Sega Genesis,game only,loose,ebay(46),18.40,21.75,24.99,3.24,5.57,APPLIED,
Final Fantasy Adventure - Gameboy Game,Gameboy,game only,loose,ebay(69),22.99,61.78,31.99,-29.79,7.77,APPLIED,
Final Fantasy II - SNES Game,SNES,game only,loose,ebay(81),50.59,77.56,68.99,-8.57,16.10,APPLIED,
Final Fantasy III - SNES Game,SNES,game only,loose,ebay(64),36.79,101.50,49.99,-51.51,11.45,APPLIED,
Final Fantasy Legend 2 - Gameboy Game,Gameboy,game only,loose,pc,32.25,44.36,43.99,-0.37,10.16,NO_CHANGE,
Final Fantasy Legend 2 - Gameboy Game,Gameboy,complete (cib),cib,pc,127.50,172.99,172.99,0.00,40.17,NO_CHANGE,
Final Fantasy Mystic Quest - SNES Game,SNES,game only,loose,ebay(61),13.79,25.84,18.99,-6.85,4.35,APPLIED,
Final Fantasy Tactics Advance - GBA Game,Gameboy Advance,game only,loose,pc,25.20,34.99,34.99,0.00,8.48,NO_CHANGE,
Final Fantasy Tactics Advance - GBA Game,Gameboy Advance,complete (cib),cib,pc,73.00,98.99,98.99,0.00,22.82,NO_CHANGE,
Final Fantasy XII [Collector's Edition] - PS2 Game,Playstation 2,game only,loose,pc,11.18,16.15,15.99,-0.16,4.05,NO_CHANGE,
Final Fantasy XII [Collector's Edition] - PS2 Game,Playstation 2,complete (cib),cib,pc,13.28,28.99,17.99,-11.00,3.89,APPLIED,
Final Fight - SNES Game,SNES,game only,loose,ebay(45),15.59,19.21,21.99,2.78,5.46,APPLIED,
Final Fight 2 - SNES Game,SNES,game only,loose,ebay(63),16.54,88.73,22.99,-65.74,5.48,APPLIED,
Fire Emblem - GBA Game,Gameboy Advance,game only,loose,pc,63.83,86.99,86.99,0.00,20.34,NO_CHANGE,
Fire Emblem - GBA Game,Gameboy Advance,complete (cib),cib,pc,170.00,229.99,229.99,0.00,53.02,NO_CHANGE,
Firepower 2000 - SNES Game,SNES,game only,loose,ebay(41),22.99,35.89,31.99,-3.90,7.77,APPLIED,
Firepower 2000 - SNES Game,SNES,complete (cib),cib,ebay(6),85.10,63.99,114.99,51.00,26.26,APPLIED,
Flashback The Quest for Identity - Sega CD Game,Sega CD,game only,loose,ebay(11),46.46,56.85,62.99,6.14,14.40,APPLIED,
Flashback The Quest for Identity - Sega CD Game,Sega CD,complete (cib),cib,ebay(4),58.88,101.99,79.99,-22.00,18.49,APPLIED,
Flashback The Quest for Identity - Sega Genesis Game,Sega Genesis,game only,loose,ebay(76),16.07,20.01,21.99,1.98,4.98,APPLIED,
Flashback The Quest for Identity - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(8),44.60,35.99,60.99,25.00,14.32,APPLIED,
Flicky - Sega Genesis Game,Sega Genesis,game only,loose,ebay(16),37.24,33.39,50.99,17.60,11.97,APPLIED,
Flicky - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(7),59.80,59.99,80.99,21.00,18.54,APPLIED,
Flow Urban Dance Uprising - PS2 Game,Playstation 2,game only,loose,pc,4.89,6.59,6.99,0.40,1.60,NO_CHANGE,
Flow Urban Dance Uprising - PS2 Game,Playstation 2,complete (cib),cib,pc,4.99,10.99,6.99,-4.00,1.50,APPLIED,
Force 21 - Gameboy Color Game,Gameboy Color,game only,loose,ebay(7),9.97,8.42,13.99,5.57,3.31,APPLIED,
Ford Bold Moves Street Racing - PSP Game,PSP,game only,loose,ebay(10),16.98,15.46,22.99,7.53,5.04,APPLIED,
Ford Mustang The Legend Lives - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
Forgotten Worlds - Sega Genesis Game,Sega Genesis,game only,loose,ebay(59),32.19,29.57,43.99,14.42,10.22,APPLIED,
Forgotten Worlds - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(14),45.99,52.99,62.99,10.00,14.87,APPLIED,
Formula 1 - PS1 Game,Playstation,game only,loose,ebay(59),7.35,53.99,9.99,-44.00,2.05,APPLIED,
Formula One 2000 - Gameboy Color Game,Gameboy Color,,,,,,,,,NO_MATCH,PC and eBay both failed
Formula One 2001 - PS2 Game,Playstation 2,game only,loose,pc,6.29,9.03,8.99,-0.04,2.14,NO_CHANGE,
Formula One 2001 - PS2 Game,Playstation 2,complete (cib),cib,pc,9.72,13.99,13.99,0.00,3.56,NO_CHANGE,
Formula One Built To Win - NES Game,NES,game only,loose,ebay(14),36.80,48.76,49.99,1.23,11.44,APPLIED,
Fox Hunt - PS1 Game,Playstation,,,,,,,,,NO_MATCH,PC and eBay both failed
Fox Sports Soccer 99 - PS1 Game,Playstation,game only,loose,ebay(14),11.38,3.99,15.99,12.00,3.85,APPLIED,
Fox Sports Soccer 99 - PS1 Game,Playstation,complete (cib),cib,ebay(4),6.66,6.99,9.99,3.00,2.74,APPLIED,
Frank Thomas Big Hurt Baseball - Sega Genesis Game,Sega Genesis,game only,loose,ebay(68),7.35,9.16,9.99,0.83,2.05,APPLIED,
Frank Thomas Big Hurt Baseball - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(12),10.77,15.99,14.99,-1.00,3.49,APPLIED,
Freaky Flyers - Gamecube Game,Gamecube,game only,loose,ebay(41),21.11,52.96,28.99,-23.97,6.74,APPLIED,
Freedom Fighters - PS2 Game,Playstation 2,game only,loose,pc,12.99,18.01,17.99,-0.02,4.18,NO_CHANGE,
Freedom Fighters - PS2 Game,Playstation 2,complete (cib),cib,pc,14.27,19.99,19.99,0.00,4.84,NO_CHANGE,
Freedom Force - NES Game,NES,game only,loose,ebay(28),23.00,28.26,31.99,3.73,7.76,APPLIED,
Freedom Force - NES Game,NES,complete (cib),cib,ebay(9),64.39,49.99,86.99,37.00,19.78,APPLIED,
Friday the 13th - NES Game,NES,game only,loose,ebay(79),16.55,22.08,22.99,0.91,5.47,APPLIED,
Frogger - Sega Genesis Game,Sega Genesis,game only,loose,ebay(73),12.56,14.49,16.99,2.50,3.64,APPLIED,
Frogger Ancient Shadow - Gamecube Game,Gamecube,game only,loose,ebay(26),13.80,18.38,18.99,0.61,4.34,APPLIED,
Frogger Ancient Shadow - Gamecube Game,Gamecube,complete (cib),cib,ebay(7),23.00,32.99,31.99,-1.00,7.76,APPLIED,
Frogger Ancient Shadow - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
Frogger Beyond - Gamecube Game,Gamecube,game only,loose,pc,11.00,14.76,14.99,0.23,3.26,NO_CHANGE,
Frogger Beyond - Gamecube Game,Gamecube,complete (cib),cib,pc,14.95,20.99,20.99,0.00,5.13,NO_CHANGE,
Frogger's Adventures The Rescue - Gamecube Game,Gamecube,game only,loose,ebay(32),11.95,15.11,16.99,1.88,4.25,APPLIED,
Frogger's Adventures The Rescue - Gamecube Game,Gamecube,complete (cib),cib,ebay(8),13.78,26.99,18.99,-8.00,4.36,APPLIED,
Fugitive Hunter - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
Fun 'n Games - Sega Genesis Game,Sega Genesis,game only,loose,ebay(41),9.10,9.51,12.99,3.48,3.21,APPLIED,
Fun 'n Games - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(18),13.77,16.99,18.99,2.00,4.37,APPLIED,
G-LOC Air Battle - Sega Genesis Game,Sega Genesis,game only,loose,ebay(46),13.80,12.96,18.99,6.03,4.34,APPLIED,
G-LOC Air Battle - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(8),17.48,22.99,23.99,1.00,5.51,APPLIED,
G.I. Joe: A Real American Hero - NES Game,NES,game only,loose,pc,90.03,121.99,121.99,0.00,28.12,NO_CHANGE,
G.I. Joe: A Real American Hero - NES Game,NES,complete (cib),cib,pc,231.09,311.99,311.99,0.00,71.55,NO_CHANGE,
Gadget Twins - Sega Genesis Game,Sega Genesis,game only,loose,ebay(29),15.64,20.69,21.99,1.30,5.41,APPLIED,
Gain Ground - Sega Genesis Game,Sega Genesis,game only,loose,ebay(11),32.19,65.69,43.99,-21.70,10.22,APPLIED,
Galaxy Force II - Sega Genesis Game,Sega Genesis,game only,loose,ebay(53),20.23,16.59,27.99,11.40,6.65,APPLIED,
Galaxy Force II - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(8),30.41,28.99,41.99,13.00,10.06,APPLIED,
Galidor Defenders of the Outer Dimension - GBA Game,Gameboy Advance,game only,loose,ebay(39),8.17,5.57,11.99,6.42,3.17,APPLIED,
Game and Watch Gallery 4 - GBA Game,Gameboy Advance,game only,loose,pc,12.60,21.24,17.99,-3.25,4.57,APPLIED,
Game and Watch Gallery 4 - GBA Game,Gameboy Advance,complete (cib),cib,pc,47.12,37.99,63.99,26.00,14.71,APPLIED,
Gangs of London - PSP Game,PSP,game only,loose,pc,9.99,13.99,13.99,0.00,3.29,NO_CHANGE,
Gangs of London - PSP Game,PSP,complete (cib),cib,pc,14.82,20.99,20.99,0.00,5.26,NO_CHANGE,
Gauntlet - NES Game,NES,game only,loose,pc,12.79,18.21,17.99,-0.22,4.38,NO_CHANGE,
Gauntlet - NES Game,NES,complete (cib),cib,pc,50.10,67.99,67.99,0.00,15.62,NO_CHANGE,
General Chaos - Sega Genesis Game,Sega Genesis,game only,loose,ebay(70),22.99,28.99,31.99,3.00,7.77,APPLIED,
General Chaos - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(11),41.39,51.99,55.99,4.00,12.68,APPLIED,
Generations Lost - Sega Genesis Game,Sega Genesis,game only,loose,ebay(16),24.82,23.93,33.99,10.06,7.88,APPLIED,
Generations Lost - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(4),40.02,42.99,54.99,12.00,13.08,APPLIED,
George Foreman's KO Boxing - Sega Genesis Game,Sega Genesis,game only,loose,ebay(41),7.36,5.80,9.99,4.19,2.04,APPLIED,
George Foreman's KO Boxing - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(4),10.78,9.99,14.99,5.00,3.48,APPLIED,
Gex 3: Deep Cover Gecko - Gameboy Color Game,Gameboy Color,game only,loose,ebay(7),13.79,11.60,18.99,7.39,4.35,APPLIED,
Ghost Recon Advanced Warfighter 2 - PSP Game,PSP,game only,loose,pc,5.45,7.99,7.99,0.00,2.01,NO_CHANGE,
Ghost Recon Advanced Warfighter 2 - PSP Game,PSP,complete (cib),cib,pc,10.59,14.99,14.99,0.00,3.67,NO_CHANGE,
Ghostbusters - Sega Genesis Game,Sega Genesis,game only,loose,ebay(58),63.94,79.27,86.99,7.72,20.23,APPLIED,
Ghostbusters - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(15),92.00,141.99,124.99,-17.00,29.07,APPLIED,
Ghoul School - NES Game,NES,game only,loose,ebay(19),56.30,65.21,76.99,11.78,18.16,APPLIED,
Ghoul School - NES Game,NES,complete (cib),cib,ebay(9),183.95,116.99,248.99,132.00,57.52,APPLIED,
Ghouls 'N Ghosts - Sega Genesis Game,Sega Genesis,game only,loose,ebay(66),38.28,56.54,51.99,-4.55,11.90,APPLIED,
Ghouls 'N Ghosts - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(11),91.99,100.99,124.99,24.00,29.08,APPLIED,
GI Joe The Atlantis Factor - NES Game,NES,game only,loose,pc,55.04,74.99,74.99,0.00,17.48,NO_CHANGE,
GI Joe The Atlantis Factor - NES Game,NES,complete (cib),cib,pc,162.50,219.99,219.99,0.00,50.81,NO_CHANGE,
Gilligan's Island - NES Game,NES,game only,loose,ebay(27),24.83,29.29,33.99,4.70,7.87,APPLIED,
Gilligan's Island - NES Game,NES,complete (cib),cib,ebay(5),110.39,51.99,149.99,98.00,34.95,APPLIED,
Go Go Tank - Gameboy Game,Gameboy,game only,loose,ebay(26),23.89,12.33,32.99,20.66,7.84,APPLIED,
Go Go Tank - Gameboy Game,Gameboy,complete (cib),cib,ebay(4),106.43,21.99,143.99,122.00,33.08,APPLIED,
Godai Elemental Force - PS2 Game,Playstation 2,game only,loose,pc,4.92,6.75,6.99,0.24,1.57,NO_CHANGE,
Godai Elemental Force - PS2 Game,Playstation 2,complete (cib),cib,pc,8.34,11.99,11.99,0.00,3.00,NO_CHANGE,
Gods - Sega Genesis Game,Sega Genesis,game only,loose,ebay(24),34.50,24.64,46.99,22.35,10.83,APPLIED,
Gods - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(11),48.06,43.99,64.99,21.00,14.75,APPLIED,
Golden Nugget - PS1 Game,Playstation,game only,loose,ebay(13),7.31,11.80,9.99,-1.81,2.09,APPLIED,
Golden Nugget - PS1 Game,Playstation,complete (cib),cib,ebay(5),13.79,20.99,18.99,-2.00,4.35,APPLIED,
Golgo 13 Top Secret Episode - NES Game,NES,game only,loose,ebay(84),9.20,11.57,12.99,1.42,3.11,APPLIED,
Goof Troop - SNES Game,SNES,game only,loose,ebay(23),34.86,34.96,47.99,13.03,11.44,APPLIED,
Goof Troop - SNES Game,SNES,complete (cib),cib,ebay(4),151.79,61.99,204.99,143.00,46.96,APPLIED,
Gradius Galaxies - GBA Game,Gameboy Advance,game only,loose,ebay(27),34.69,45.25,46.99,1.74,10.64,APPLIED,
Gradius III - SNES Game,SNES,game only,loose,ebay(80),18.39,23.91,24.99,1.08,5.58,APPLIED,
Gran Turismo Concept 2002 Tokyo-Geneva - PS2 Game,Playstation 2,game only,loose,ebay(7),12.94,21.32,17.99,-3.33,4.23,APPLIED,
Granada - Sega Genesis Game,Sega Genesis,game only,loose,ebay(40),41.40,55.09,55.99,0.90,12.67,APPLIED,
Granada - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(8),73.60,98.99,99.99,1.00,23.19,APPLIED,
Grand Slam - Sega Saturn Game,Sega Saturn,game only,loose,ebay(8),47.81,59.84,64.99,5.15,15.00,APPLIED,
Great Golf - Sega Master System Game,Sega Master System,game only,loose,pc,7.21,10.38,9.99,-0.39,2.19,NO_CHANGE,
Great Golf - Sega Master System Game,Sega Master System,complete (cib),cib,pc,10.91,14.99,14.99,0.00,3.35,NO_CHANGE,
Greatest Heavyweights - Sega Genesis Game,Sega Genesis,game only,loose,ebay(74),9.19,12.96,12.99,0.03,3.12,NO_CHANGE,
Greatest Heavyweights - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(5),25.71,22.99,34.99,12.00,7.97,APPLIED,
Greendog Beached Surfer Dude - Sega Genesis Game,Sega Genesis,game only,loose,ebay(70),12.88,16.60,17.99,1.39,4.29,APPLIED,
Greendog Beached Surfer Dude - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(15),23.33,28.99,31.99,3.00,7.43,APPLIED,
Gretzky NHL - PSP Game,PSP,game only,loose,pc,4.37,5.99,5.99,0.00,1.15,NO_CHANGE,
Gretzky NHL - PSP Game,PSP,complete (cib),cib,pc,9.94,13.99,13.99,0.00,3.34,NO_CHANGE,
Gretzky NHL 06 - PSP Game,PSP,game only,loose,ebay(49),9.20,7.39,12.99,5.60,3.11,APPLIED,
Gretzky NHL 06 - PSP Game,PSP,complete (cib),cib,ebay(11),9.20,12.99,12.99,0.00,3.11,NO_CHANGE,
Gretzky NHL 2005 - PS2 Game,Playstation 2,game only,loose,ebay(54),5.47,4.85,7.99,3.14,1.99,APPLIED,
Gretzky NHL 2005 - PS2 Game,Playstation 2,complete (cib),cib,ebay(10),7.50,7.99,10.99,3.00,2.87,APPLIED,
Grooverider Slot Car Thunder - Gamecube Game,Gamecube,game only,loose,ebay(14),47.33,29.62,63.99,34.37,14.50,APPLIED,
Grooverider Slot Car Thunder - Gamecube Game,Gamecube,complete (cib),cib,ebay(7),47.84,52.99,64.99,12.00,14.97,APPLIED,
Growl - Sega Genesis Game,Sega Genesis,game only,loose,ebay(7),133.35,109.55,180.99,71.44,42.09,APPLIED,
Guitar Hero Encore Rocks the 80's - PS2 Game,Playstation 2,game only,loose,pc,7.47,9.99,10.99,1.00,2.90,APPLIED,
Guitar Hero Encore Rocks the 80's - PS2 Game,Playstation 2,complete (cib),cib,pc,7.62,14.99,10.99,-4.00,2.75,APPLIED,
Guitar Hero Smash Hits - Wii Game,Wii,game only,loose,ebay(13),35.36,52.68,47.99,-4.69,10.94,APPLIED,
Guitar Hero Smash Hits - Wii Game,Wii,complete (cib),cib,ebay(6),39.08,93.99,52.99,-41.00,12.07,APPLIED,
Guitar Hero: Van Halen - PS2 Game,Playstation 2,game only,loose,pc,27.93,37.98,37.99,0.01,8.66,NO_CHANGE,
Guitar Hero: Van Halen - PS2 Game,Playstation 2,complete (cib),cib,pc,34.99,47.99,47.99,0.00,11.31,NO_CHANGE,
Gunstar Heroes - Sega Genesis Game,Sega Genesis,game only,loose,ebay(64),94.34,91.60,127.99,36.39,29.64,APPLIED,
Gunstar Heroes - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(10),164.68,163.99,222.99,59.00,51.54,APPLIED,
Gyruss - NES Game,NES,game only,loose,ebay(64),12.19,13.04,16.99,3.95,4.01,APPLIED,
Hammerin' Hero - PSP Game,PSP,,,,,,,,,NO_MATCH,PC and eBay both failed
Hannah Montana Spotlight World Tour - Wii Game,Wii,game only,loose,pc,2.99,4.95,4.99,0.04,1.56,NO_CHANGE,
Hannah Montana Spotlight World Tour - Wii Game,Wii,complete (cib),cib,pc,4.99,6.99,6.99,0.00,1.50,NO_CHANGE,
Hannspree Ten Kate Honda SBK Superbike World Championship - PSP Game,PSP,game only,loose,ebay(19),8.01,6.99,10.99,4.00,2.36,APPLIED,
Happy Feet - Gamecube Game,Gamecube,game only,loose,ebay(56),7.35,6.25,9.99,3.74,2.05,APPLIED,
Happy Feet - Gamecube Game,Gamecube,complete (cib),cib,ebay(24),10.33,10.99,13.99,3.00,2.95,APPLIED,
Happy Feet - GBA Game,Gameboy Advance,game only,loose,pc,5.52,8.24,7.99,-0.25,1.94,NO_CHANGE,
Happy Feet - GBA Game,Gameboy Advance,complete (cib),cib,pc,11.95,16.99,16.99,0.00,4.25,NO_CHANGE,
Happy Feet Two - Wii Game,Wii,game only,loose,ebay(45),6.44,7.17,8.99,1.82,1.99,APPLIED,
Happy Feet Two - Wii Game,Wii,complete (cib),cib,ebay(21),6.89,11.99,9.99,-2.00,2.51,APPLIED,
HardBall III - Sega Genesis Game,Sega Genesis,game only,loose,ebay(66),9.19,8.27,12.99,4.72,3.12,APPLIED,
HardBall III - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(8),13.92,13.99,18.99,5.00,4.22,APPLIED,
Hardcore Pinball - GBA Game,Gameboy Advance,,,,,,,,,NO_MATCH,PC and eBay both failed
Harley Davidson Race Across America - Gameboy Color Game,Gameboy Color,,,,,,,,,NO_MATCH,PC and eBay both failed
Harry Potter and the Half-Blood Prince - PS2 Game,Playstation 2,game only,loose,pc,11.99,17.14,16.99,-0.15,4.21,NO_CHANGE,
Harry Potter and the Half-Blood Prince - PS2 Game,Playstation 2,complete (cib),cib,pc,14.52,19.99,19.99,0.00,4.59,NO_CHANGE,
Harry Potter Chamber of Secrets - Gamecube Game,Gamecube,game only,loose,pc,12.34,16.90,16.99,0.09,3.86,NO_CHANGE,
Harry Potter Chamber of Secrets - Gamecube Game,Gamecube,complete (cib),cib,pc,13.50,18.99,18.99,0.00,4.64,NO_CHANGE,
Harry Potter Sorcerers Stone - Gamecube Game,Gamecube,game only,loose,ebay(10),76.52,98.50,103.99,5.49,24.15,APPLIED,
Harry Potter Sorcerers Stone - Gamecube Game,Gamecube,complete (cib),cib,ebay(6),108.53,176.99,146.99,-30.00,33.90,APPLIED,
Harry Potter Sorcerers Stone - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
Harvest Moon 3 - Gameboy Color Game,Gameboy Color,game only,loose,ebay(11),37.55,72.98,50.99,-21.99,11.66,APPLIED,
Harvest Moon 3 - Gameboy Color Game,Gameboy Color,complete (cib),cib,ebay(4),345.00,130.99,465.99,335.00,107.18,APPLIED,
Harvest Moon Save the Homeland - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
Harvey Birdman Attorney at Law - Wii Game,Wii,game only,loose,ebay(25),11.27,11.85,15.99,4.14,3.96,APPLIED,
Harvey Birdman Attorney at Law - Wii Game,Wii,complete (cib),cib,ebay(18),10.81,20.99,14.99,-6.00,3.45,APPLIED,
Haunted Mansion - Gamecube Game,Gamecube,game only,loose,ebay(53),18.40,14.80,24.99,10.19,5.57,APPLIED,
Haunted Mansion - Gamecube Game,Gamecube,complete (cib),cib,ebay(17),27.13,25.99,36.99,11.00,8.49,APPLIED,
Heatseeker - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
Heavenly Guardian - Wii Game,Wii,game only,loose,ebay(57),6.89,10.18,9.99,-0.19,2.51,NO_CHANGE,
Heavenly Guardian - Wii Game,Wii,complete (cib),cib,ebay(16),7.31,17.99,9.99,-8.00,2.09,APPLIED,
Heavy Barrel - NES Game,NES,game only,loose,ebay(47),23.00,21.74,31.99,10.25,7.76,APPLIED,
Heavy Barrel - NES Game,NES,complete (cib),cib,ebay(8),70.38,38.99,95.99,57.00,22.53,APPLIED,
Heavy Shreddin' - NES Game,NES,game only,loose,ebay(73),9.19,9.35,12.99,3.64,3.12,APPLIED,
Heroes of the Pacific - PS2 Game,Playstation 2,game only,loose,pc,6.16,8.99,8.99,0.00,2.27,NO_CHANGE,
Heroes of the Pacific - PS2 Game,Playstation 2,complete (cib),cib,pc,7.93,10.99,10.99,0.00,2.44,NO_CHANGE,
Herzog Zwei - Sega Genesis Game,Sega Genesis,game only,loose,ebay(28),51.69,59.13,69.99,10.86,15.97,APPLIED,
Herzog Zwei - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(10),80.96,105.99,109.99,4.00,25.54,APPLIED,
Hexyz Force - PSP Game,PSP,game only,loose,ebay(22),63.80,103.49,86.99,-16.50,20.37,APPLIED,
Hexyz Force - PSP Game,PSP,complete (cib),cib,ebay(5),156.40,185.99,211.99,26.00,49.14,APPLIED,
High Heat Baseball 2000 - PS1 Game,Playstation,game only,loose,pc,5.23,7.07,7.99,0.92,2.23,APPLIED,
High Heat Baseball 2000 - PS1 Game,Playstation,complete (cib),cib,pc,8.50,11.99,11.99,0.00,2.84,NO_CHANGE,
High Heat Major League Baseball 2004 - PS2 Game,Playstation 2,game only,loose,pc,3.56,4.99,4.99,0.00,0.99,NO_CHANGE,
High Heat Major League Baseball 2004 - PS2 Game,Playstation 2,complete (cib),cib,pc,5.49,7.99,7.99,0.00,1.97,NO_CHANGE,
High Rollers Casino - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
High School Musical 3 Senior Year Dance - PS2 Game,Playstation 2,game only,loose,pc,4.69,6.94,6.99,0.05,1.80,NO_CHANGE,
High School Musical 3 Senior Year Dance - PS2 Game,Playstation 2,complete (cib),cib,pc,5.13,10.99,6.99,-4.00,1.36,APPLIED,
High Stakes - Gameboy Game,Gameboy,game only,loose,ebay(32),10.12,9.92,13.99,4.07,3.16,APPLIED,
History Channel Civil War Secret Missions - PS2 Game,Playstation 2,game only,loose,pc,9.54,10.83,12.99,2.16,2.77,APPLIED,
History Channel Civil War Secret Missions - PS2 Game,Playstation 2,complete (cib),cib,pc,12.51,18.99,16.99,-2.00,3.69,APPLIED,
Hit the Ice - Sega Genesis Game,Sega Genesis,game only,loose,ebay(10),41.40,27.67,55.99,28.32,12.67,APPLIED,
Hit the Ice - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(4),86.63,48.99,116.99,68.00,26.67,APPLIED,
Hitman Blood Money - PS2 Game,Playstation 2,game only,loose,pc,6.07,9.04,8.99,-0.05,2.36,NO_CHANGE,
Hitman Blood Money - PS2 Game,Playstation 2,complete (cib),cib,pc,9.07,12.99,12.99,0.00,3.24,NO_CHANGE,
Hollywood Squares - Wii Game,Wii,game only,loose,ebay(49),8.73,7.70,11.99,4.29,2.61,APPLIED,
Hollywood Squares - Wii Game,Wii,complete (cib),cib,ebay(9),8.22,12.99,11.99,-1.00,3.12,APPLIED,
Home Alone 2 Lost In New York - SNES Game,SNES,game only,loose,ebay(88),9.20,14.46,12.99,-1.47,3.11,APPLIED,
Home Improvement - SNES Game,SNES,game only,loose,ebay(6),96.13,110.61,129.99,19.38,29.79,APPLIED,
Home Run King - Gamecube Game,Gamecube,game only,loose,ebay(61),9.20,5.87,12.99,7.12,3.11,APPLIED,
Home Run King - Gamecube Game,Gamecube,complete (cib),cib,ebay(15),10.17,9.99,13.99,4.00,3.11,APPLIED,
Hook - Sega Genesis Game,Sega Genesis,game only,loose,ebay(36),17.48,27.39,23.99,-3.40,5.51,APPLIED,
Hook - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(8),45.80,48.99,61.99,13.00,14.09,APPLIED,
Hook - SNES Game,SNES,game only,loose,ebay(40),13.28,47.99,17.99,-30.00,3.89,APPLIED,
Hooters Road Trip - PS1 Game,Playstation,,,,,,,,,NO_MATCH,PC and eBay both failed
Hot Shots Golf Open Tee - PSP Game,PSP,game only,loose,pc,2.73,4.13,3.99,-0.14,0.84,NO_CHANGE,
Hot Shots Golf Open Tee - PSP Game,PSP,complete (cib),cib,pc,5.31,7.99,7.99,0.00,2.15,NO_CHANGE,
Hot Shots Golf Open Tee 2 - PSP Game,PSP,game only,loose,pc,5.72,7.99,7.99,0.00,1.74,NO_CHANGE,
Hot Shots Golf Open Tee 2 - PSP Game,PSP,complete (cib),cib,pc,8.00,10.99,10.99,0.00,2.37,NO_CHANGE,
Hot Shots Tennis: Get a Grip - PSP Game,PSP,game only,loose,pc,1.75,2.99,2.99,0.00,0.85,NO_CHANGE,
Hot Shots Tennis: Get a Grip - PSP Game,PSP,complete (cib),cib,pc,6.56,8.99,8.99,0.00,1.87,NO_CHANGE,
Hot Wheels Stunt Track Driver - Gameboy Color Game,Gameboy Color,game only,loose,pc,10.00,13.99,13.99,0.00,3.28,NO_CHANGE,
Hot Wheels Stunt Track Driver - Gameboy Color Game,Gameboy Color,complete (cib),cib,pc,37.50,50.99,50.99,0.00,11.71,NO_CHANGE,
